Date,VPI,EuropeanUnioncurrentcompositionManufactureofelectricalequipmentAssessmentoforderbooklevels,EuropeanUnioncurrentcompositionManufactureofelectricalequipmentAssessmentofexportorderbooklevels,EuropeanUnioncurrentcompositionManufactureofelectricalequipmentSellingpriceexpectationsforthemonthsahead,EuroareaManufactureofelectricalequipmentConfidenceIndicatorQ2Q4Q53,EuroareaManufactureofelectricalequipmentAssessmentoforderbooklevels,EuropeanUnioncurrentcompositionManufactureofelectricalequipmentAssessmentofexportorderbooklevels,EuropeanUnioncurrentcompositionManufactureofelectricalequipmentSellingpriceexpectationsforthemonthsahead,EuroareaManufactureofelectricalequipmentConfidenceIndicatorQ2Q4Q53,EuroareaManufactureofelectricalequipmentAssessmentoforderbooklevels,EuroareaManufactureofelectricalequipmentAssessmentofexportorderbooklevels,EuroareaManufactureofelectricalequipmentSellingpriceexpectationsforthemonthsahead,GermanyManufactureofelectricalequipmentAssessmentoforderbooklevels,GermanyManufactureofelectricalequipmentSellingpriceexpectationsforthemonthsahead,EuropeanUnioncurrentcompositionManufactureofmachineryandequipmentn.e.c.Sellingpriceexpectationsforthemonthsahead,EuroareaManufactureofmachineryandequipmentn.e.c.Sellingpriceexpectationsforthemonthsahead,EuropeanUnioncurrentcompositionConstructionconfidenceindicator5,EuroareaConstructionconfidenceindicator5,GermanyConstructionconfidenceindicator5,INDU.EU.TOT.6.BS.M,INDU.EA.TOT.6.BS.M,INDU.DE.TOT.6.BS.M
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,89,0.2,-2,11.2,3.3,3.4,-2,11.2,3.3,3.4,1.2,12.4,22.6,15.9,14,14.1,-25.2,-25.9,-15.6,13.5,13.2,15.3
2011-02-01,88.7,-3.8,-1.2,17.8,5.7,-1.6,-1.2,17.8,5.7,-1.6,1.5,19,12.1,20.1,19.5,20,-23.8,-24.3,-13.9,15.2,15.5,17.6
2011-03-01,89.3,-1,-1.2,19.3,5.7,0.5,-1.2,19.3,5.7,0.5,0.6,20.7,16.8,24.1,16.6,17,-22.7,-23.8,-11.1,19.3,20.3,23
2011-04-01,89.8,-0.4,-1.7,15.7,5.8,2.6,-1.7,15.7,5.8,2.6,1.4,16.3,22.5,17.8,13.6,14.3,-22.5,-23.4,-11.4,21.3,21.9,23.1
2011-05-01,89.8,1.5,-1.3,13.5,5.9,3.3,-1.3,13.5,5.9,3.3,0.7,14.6,20.6,14.3,13.1,14.4,-21.4,-22,-8.7,18.6,19.8,25.1
2011-06-01,89.8,-2.5,-1,11.6,-0.8,-0.8,-1,11.6,-0.8,-0.8,1.1,13.3,19.5,17.6,10,11,-20.1,-20.9,-7.5,17.1,18.3,20.8
2011-07-01,89.9,0.6,-0.2,11.7,2.3,1.9,-0.2,11.7,2.3,1.9,1.2,12.9,23.9,18.4,9.6,10.2,-20.3,-21,-6.6,14.5,15.5,18.3
2011-08-01,90.1,-0.8,-4,8,-1.4,1.4,-4,8,-1.4,1.4,-1.6,9.2,18.5,11.2,9.1,9.9,-21,-21.3,-7.1,11.3,12.2,15
2011-09-01,90.2,-7,-7.7,8.4,-5.2,-4.8,-7.7,8.4,-5.2,-4.8,-5.3,8.9,15.8,13.7,6.6,7.6,-19.8,-19.7,-6.2,8.3,8.8,11.4
2011-10-01,90.3,-11.4,-12.8,8.1,-7.4,-10.4,-12.8,8.1,-7.4,-10.4,-10.9,9.2,8.7,12.8,6,7.1,-22.5,-22.8,-7.3,6.9,7.4,9.4
2011-11-01,90.4,-16.8,-16.4,5.9,-12.6,-15.7,-16.4,5.9,-12.6,-15.7,-14.2,6.6,-2.2,9.7,2.3,2.6,-23.1,-23.3,-9.8,4.2,4.2,7.6
2011-12-01,90.5,-18.4,-21.7,6.7,-14.6,-18,-21.7,6.7,-14.6,-18,-21.2,8,4.5,11.5,8.6,9,-22.5,-22.4,-8.6,4,3.5,6.2
2012-01-01,90.7,-24.2,-24.2,7.1,-16.8,-24.6,-24.2,7.1,-16.8,-24.6,-24.5,8.2,0.1,15.8,9.2,8.3,-24.3,-24,-10.9,4.7,4.2,8.1
2012-02-01,90.6,-20.9,-23,10.9,-9.1,-20.3,-23,10.9,-9.1,-20.3,-23.1,11.7,-2.1,17,14.8,14.9,-23.9,-23.5,-10.5,5.5,5.2,7.3
2012-03-01,91.2,-18.4,-18.4,10,-5.6,-18.8,-18.4,10,-5.6,-18.8,-18.2,10.7,-0.4,15.2,8.7,8.9,-22.7,-21.7,-9.2,6.8,6.8,8.9
2012-04-01,91.7,-21.3,-22.6,7.4,-8.6,-21.8,-22.6,7.4,-8.6,-21.8,-22.9,6.8,-5.9,7.6,6.5,6.3,-22.9,-22.4,-9.4,6.8,7.2,8.3
2012-05-01,91.6,-21.5,-25.4,4.5,-10.8,-21.5,-25.4,4.5,-10.8,-21.5,-25.4,4.8,-7.1,6.4,5,6,-23.1,-22.9,-9.4,6.1,6.8,10.4
2012-06-01,91.5,-28.2,-27.4,2,-13.1,-28.9,-27.4,2,-13.1,-28.9,-27.1,2.6,-18.4,1.4,4.8,5.4,-24.4,-23.8,-8.2,3.4,4.2,8.4
2012-07-01,91.4,-28.8,-22.8,2.9,-13.4,-29,-22.8,2.9,-13.4,-29,-22.2,3.9,-20.4,2.6,1,1.4,-24.3,-23.3,-9.6,0.7,1.1,4.3
2012-08-01,91.7,-27.9,-28.4,1.4,-16,-30.1,-28.4,1.4,-16,-30.1,-29.6,1.6,-22,3.5,-0.1,0.4,-25.3,-24.3,-8.2,-0.5,-0.1,2.2
2012-09-01,92.1,-25.1,-22.7,-0.2,-13.3,-24.8,-22.7,-0.2,-13.3,-24.8,-21.2,-0.8,-15.7,0.1,0.6,1.3,-26.7,-26,-8.8,1.9,2.5,4.3
2012-10-01,92.2,-29.7,-28.9,-1.2,-13.6,-31.5,-28.9,-1.2,-13.6,-31.5,-30.4,-1.7,-27.7,-0.1,0.3,1.3,-26.9,-25.7,-8.8,2.8,3.1,3.4
2012-11-01,92.2,-35.7,-34.1,-2.1,-20.8,-39.3,-34.1,-2.1,-20.8,-39.3,-36.8,-0.7,-28.6,2.7,-0.1,0.5,-29,-28,-10.8,1.7,1.5,2.5
2012-12-01,92.2,-34.4,-34.4,-2.8,-19.3,-36.3,-34.4,-2.8,-19.3,-36.3,-36.3,-1,-30,2.5,1.3,1.7,-29.8,-28.7,-9.4,0.3,0.2,1.2
2013-01-01,92.5,-33.4,-30.1,3,-18.1,-35.7,-30.1,3,-18.1,-35.7,-31.6,3.6,-25.7,10,5.9,5.6,-30.2,-28.9,-11.9,1.1,1.1,1.4
2013-02-01,92.1,-31.6,-32.1,2.6,-15.9,-32.9,-32.1,2.6,-15.9,-32.9,-33.2,2.9,-22.4,4.8,10.5,10.2,-27,-25.5,-7.5,1.8,2.1,2.8
2013-03-01,92.6,-29.8,-31.3,5.5,-11.2,-31.8,-31.3,5.5,-11.2,-31.8,-33.1,7.1,-20.7,6.2,6.5,5.3,-27.1,-25.4,-6.3,1.8,2.1,3.8
2013-04-01,93,-34.1,-29.2,-1.8,-14.2,-36,-29.2,-1.8,-14.2,-36,-30.5,-0.3,-26.8,4.9,4,4.2,-27.2,-25.6,-6,-0.2,0.1,3.3
2013-05-01,92.6,-33.9,-27.9,-4.6,-14.8,-34.1,-27.9,-4.6,-14.8,-34.1,-27.2,-5.6,-25,1.5,-0.4,-0.2,-27.4,-25.7,-4.1,-1.4,-1.1,1.7
2013-06-01,93,-31,-28.9,-3.3,-12.3,-33.2,-28.9,-3.3,-12.3,-33.2,-30.6,-1.9,-22.1,2.8,-3,-3.4,-27.7,-26.9,-4.3,-1.5,-1.7,0.7
2013-07-01,93.1,-28.1,-24,-6.4,-14.3,-30,-24,-6.4,-14.3,-30,-25,-6.3,-17.2,0.6,-2.7,-2.8,-27.6,-26.7,-5.2,-1,-1.2,1.8
2013-08-01,93.5,-24.5,-21.8,-1.9,-10.6,-25.9,-21.8,-1.9,-10.6,-25.9,-22,-1.9,-14.2,2,-1.2,0,-27.6,-26.8,-5.2,0.7,0.7,2.1
2013-09-01,93.5,-19.3,-17,-1.4,-7.9,-20.3,-17,-1.4,-7.9,-20.3,-17.1,-1.1,-5.5,3.1,-2.4,-1.3,-26.6,-25.5,-4.1,1.9,1.8,3.9
2013-10-01,93.5,-21.4,-18.6,-4,-10.3,-23.6,-18.6,-4,-10.3,-23.6,-20.6,-3.2,-15.6,1.4,-0.3,1.4,-24.6,-23.6,-2.9,2,2.1,4.4
2013-11-01,93.3,-21.3,-19.1,-3,-9.8,-22.9,-19.1,-3,-9.8,-22.9,-20,-2.2,-9,4.3,1.4,2.7,-25.2,-24.1,-3.7,1.2,1.2,3.4
2013-12-01,93.5,-22.7,-18.2,-2,-10.2,-25.6,-18.2,-2,-10.2,-25.6,-19.8,-1.8,-13.2,5.3,4.3,5.4,-26.4,-25.7,-4.8,0.8,0.5,4.1
2014-01-01,93.9,-21,-20.3,2,-8.1,-21.2,-20.3,2,-8.1,-21.2,-21.7,2.6,-13.2,7.2,8.4,10.1,-25.2,-24.9,-6.2,0.7,0.6,4.7
2014-02-01,93.3,-20.8,-20.9,2.9,-3.5,-20.4,-20.9,2.9,-3.5,-20.4,-20.2,3.5,-6.6,7.2,10.3,12.1,-25.3,-25.1,-8.6,2,1.9,4.5
2014-03-01,93.8,-18.5,-20.2,1.8,-2.2,-17.8,-20.2,1.8,-2.2,-17.8,-18.3,1.3,-7.6,9,6.6,6.5,-24.9,-24.8,-6.3,1.2,0.8,3.7
2014-04-01,94,-19.5,-19.8,-3.3,-5.5,-17.7,-19.8,-3.3,-5.5,-17.7,-17.7,-2.4,-6.3,3.3,4.1,4.7,-24.7,-24.6,-7.8,0.4,0.2,4.1
2014-05-01,93.9,-17.9,-18.7,-0.4,-6.4,-18.1,-18.7,-0.4,-6.4,-18.1,-17.5,0.3,-6.2,8.3,2.1,2.8,-25.4,-25.9,-9.3,0.4,0.3,4
2014-06-01,93.8,-22.9,-18,-0.6,-8.8,-25.1,-18,-0.6,-8.8,-25.1,-19.8,-0.4,-12.1,3.4,-0.6,-0.7,-25.2,-25.9,-11,0.1,-0.3,2.8
2014-07-01,94,-23.2,-21.3,-3.7,-10,-25.2,-21.3,-3.7,-10,-25.2,-20.4,-3,-12.9,2.7,-2,-2.4,-26.3,-27.5,-8.5,-0.3,-0.6,1.9
2014-08-01,94.3,-21.4,-21.7,-3.6,-10.8,-21.4,-21.7,-3.6,-10.8,-21.4,-19.8,-3.3,-13.9,-4,-1.9,-2.4,-24.7,-25.8,-11.3,0.2,0,1.7
2014-09-01,94.3,-17.2,-17.6,-6.5,-9.7,-18.8,-17.6,-6.5,-9.7,-18.8,-18.4,-7.4,-13.8,-0.4,-2.2,-1.9,-24.5,-25.6,-11,-0.6,-1.3,2.3
2014-10-01,94.3,-22.9,-26.3,-6.5,-11.4,-23.9,-26.3,-6.5,-11.4,-23.9,-27.3,-7.5,-17.3,0.5,-1.4,-0.4,-24,-25.1,-10.1,-2.4,-3.1,1.5
2014-11-01,94.1,-24.8,-24.5,-3.2,-15.8,-28,-24.5,-3.2,-15.8,-28,-26.9,-3.7,-22.6,0.2,-0.3,1,-23.3,-24.3,-9.3,-1.5,-1.8,0.9
2014-12-01,94.1,-20.2,-20.7,-0.2,-14,-21.8,-20.7,-0.2,-14,-21.8,-21.8,0.1,-12.8,3.5,0.9,1.3,-24,-25,-12.8,-3.7,-4.6,-0.9
2015-01-01,94,-21,-22.1,-2.7,-13.8,-22.6,-22.1,-2.7,-13.8,-22.6,-24.7,-3.3,-15.3,6.7,3.8,4.4,-24,-25.2,-11.4,-6,-7,-3.9
2015-02-01,93.1,-16.4,-17.8,-0.6,-4,-17.5,-17.8,-0.6,-4,-17.5,-18.7,-0.4,-6.6,5.3,4.9,6.9,-24,-25,-11.7,-6.8,-7.4,-4.9
2015-03-01,93.8,-20.5,-21.8,-0.7,-6.3,-20.1,-21.8,-0.7,-6.3,-20.1,-20.9,-0.6,-10,5.1,1.8,3.1,-23.7,-24.8,-11.5,-4.7,-5.5,-1.3
2015-04-01,94.3,-16.5,-20.7,-1.3,-2.3,-16.7,-20.7,-1.3,-2.3,-16.7,-21,-1.8,-7.6,4,0.4,1.4,-22.6,-23.2,-12,-3.2,-4,-0.2
2015-05-01,94.7,-12,-15.2,0.2,-4.1,-12.2,-15.2,0.2,-4.1,-12.2,-14.7,0.4,-5.7,2.7,0,0.8,-23,-24.2,-9.4,-1.1,-0.9,2.2
2015-06-01,94.9,-16,-16.5,0.7,-6.4,-16.5,-16.5,0.7,-6.4,-16.5,-16.6,0.8,-11.5,3.1,-2.5,-2.4,-22.8,-24.1,-11.5,0.5,0.5,1.3
2015-07-01,94.9,-11.2,-13.1,0.9,-4.5,-12.7,-13.1,0.9,-4.5,-12.7,-12.2,1.1,-6.4,0,-2.2,-1.3,-21.7,-23.2,-11.4,-0.1,-0.4,1.1
2015-08-01,95.1,-12.2,-14.9,-3.6,-6.3,-13.1,-14.9,-3.6,-6.3,-13.1,-15.7,-4.1,-3.5,-3.7,-0.3,0.7,-20.7,-22.3,-10.4,0.3,0,0.6
2015-09-01,95,-13.5,-16.6,-4.6,-6.7,-13.3,-16.6,-4.6,-6.7,-13.3,-16.5,-5.4,-2.6,-1.6,-1.9,-1.2,-20,-21.2,-8.6,-0.8,-1.5,0
2015-10-01,94.9,-18.1,-19.4,-1.8,-6.3,-18.6,-19.4,-1.8,-6.3,-18.6,-19.9,-1.8,-17.7,1.1,-2.7,-1.7,-19.4,-20.9,-8.7,-3.1,-4.1,-1.5
2015-11-01,94.9,-16.1,-16.8,-5.1,-9.1,-16.8,-16.8,-5.1,-9.1,-16.8,-16.8,-5.6,-12.9,0,-1.4,-0.2,-17.9,-19.5,-7.6,-2.3,-3.3,0
2015-12-01,94.3,-14.5,-17.9,-6.8,-9,-14.9,-17.9,-6.8,-9,-14.9,-17.5,-7.3,-12.2,0,1.7,3.1,-16.3,-17.9,-5.5,-1.5,-2.2,0.5
2016-01-01,94.3,-7.5,-13.5,-4.3,-5.4,-7.1,-13.5,-4.3,-5.4,-7.1,-13.1,-4.5,-6.4,4.1,4.6,5.8,-16.2,-17.5,-5.3,-3.7,-4.8,-1.7
2016-02-01,93.6,-15.6,-18.5,-4.5,-4.8,-16.1,-18.5,-4.5,-4.8,-16.1,-18.8,-4,-10,3.8,5.9,7.1,-17,-18,-5.3,-4.2,-4.5,-2.5
2016-03-01,93.9,-19.7,-20.1,-4.6,-5.9,-20.2,-20.1,-4.6,-5.9,-20.2,-19.9,-4.7,-13.1,1.2,0.8,2.3,-15.9,-17.2,-3.4,-5.1,-5.4,-3.5
2016-04-01,94.5,-13.8,-17,-2.1,-5.3,-14.9,-17,-2.1,-5.3,-14.9,-17.4,-1,-10.4,7.4,-0.1,-0.2,-16.9,-18.4,-2.9,-4.2,-4.8,-5.1
2016-05-01,94.6,-14.5,-18.2,-4.5,-5.6,-14.7,-18.2,-4.5,-5.6,-14.7,-18,-4.2,-7.2,3.1,-1.9,-0.8,-16.4,-17.8,-4.6,-2.4,-1.9,-1.3
2016-06-01,95.1,-16.5,-19.3,-4,-7.1,-16.7,-19.3,-4,-7.1,-16.7,-19.5,-4.2,-9.3,3.8,-2.7,-2.6,-15.7,-17.1,-0.2,-0.1,0.3,1.3
2016-07-01,95.2,-12.3,-18.3,-9.9,-7.5,-14,-18.3,-9.9,-7.5,-14,-19.2,-10.9,-4.9,-0.2,-1.8,-1.7,-15.8,-17,1.1,1.5,1.6,1.9
2016-08-01,95.5,-6.7,-14.2,-2.9,-3.3,-6,-14.2,-2.9,-3.3,-6,-12.7,-2.8,2.7,2.8,-2.3,-0.7,-14.1,-15.2,1.3,1.6,1.6,4.1
2016-09-01,95.4,-12.5,-18.1,-7.3,-5.1,-12.5,-18.1,-7.3,-5.1,-12.5,-17.8,-7.8,-6.9,0.6,-1.9,-1.5,-13.1,-13.9,1.9,1.1,0.8,2.2
2016-10-01,95.5,-11.1,-14.7,-8.3,-4.2,-11,-14.7,-8.3,-4.2,-11,-14.4,-9,-5.4,-5.8,-3,-2,-12.3,-13.2,3.9,0.6,0.5,2.6
